               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11384,            0.014545,            0.039158,              0.2893,             0.10568,            0.030589,           0.0071061,            0.090452,            0.012763,            0.027371,            0.070545,           0.0032727,           0.0032727
                   1,            0.084555,            0.016021,            0.024817,             0.16376,             0.30772,             0.18882,            0.062512,            0.073653,            0.011749,            0.019844,            0.040284,           0.0063445,           0.0063445
                   2,             0.07305,            0.015902,            0.019785,             0.40252,             0.33318,             0.23114,            0.072147,            0.078015,            0.010746,            0.013228,           0.0097583,           0.0091522,           0.0091522
                   3,            0.065131,            0.014914,            0.014445,             0.54327,             0.56629,             0.53963,             0.22782,            0.050995,            0.010357,           0.0089819,            0.008812,            0.008812,            0.008812
                   4,            0.057701,            0.014657,            0.010027,             0.53125,             0.59363,               0.578,             0.25163,            0.054695,           0.0097739,           0.0062993,            0.008812,            0.008812,            0.008812
                   5,              0.0514,            0.012791,           0.0079028,             0.54496,             0.69477,             0.63285,             0.29717,            0.047581,           0.0089706,           0.0048447,            0.008416,            0.008416,            0.008416
                   6,            0.047424,            0.012273,           0.0064031,             0.80428,             0.72167,             0.76809,             0.39183,            0.041071,           0.0080777,            0.004271,             0.00802,             0.00802,             0.00802
                   7,            0.043851,            0.011002,           0.0059261,             0.81096,              0.7581,             0.80135,             0.42249,             0.03501,           0.0075464,           0.0038183,            0.007624,            0.007624,            0.007624
                   8,            0.041471,            0.010924,           0.0049751,             0.86491,             0.71962,             0.83776,             0.46139,            0.037226,            0.007415,           0.0035083,            0.007228,            0.007228,            0.007228
                   9,            0.039752,            0.010534,           0.0049447,             0.85378,             0.79291,             0.83978,              0.4722,            0.033786,           0.0070721,           0.0036608,            0.006832,            0.006832,            0.006832
                  10,            0.038129,             0.01044,           0.0043396,             0.89001,             0.82604,             0.87324,             0.50115,            0.031189,           0.0066669,           0.0030621,            0.006436,            0.006436,            0.006436
                  11,             0.03625,            0.010108,           0.0040818,             0.89664,             0.81416,             0.86454,             0.51378,            0.030523,           0.0065136,           0.0029933,             0.00604,             0.00604,             0.00604
                  12,            0.035047,            0.010011,           0.0040472,             0.92542,             0.82398,             0.88747,             0.54772,            0.028204,            0.006312,           0.0025951,            0.005644,            0.005644,            0.005644
                  13,            0.032849,            0.009295,           0.0036083,             0.92127,             0.82925,             0.88853,             0.53362,            0.026501,            0.006201,           0.0025326,            0.005248,            0.005248,            0.005248
                  14,            0.031397,           0.0094904,           0.0032102,             0.92024,             0.85407,             0.89684,             0.52777,            0.026959,           0.0060767,           0.0023979,            0.004852,            0.004852,            0.004852
                  15,            0.030535,           0.0095526,           0.0033004,             0.94532,             0.84335,             0.90506,             0.63058,            0.023025,           0.0058098,           0.0021315,            0.004456,            0.004456,            0.004456
                  16,            0.029354,           0.0088668,           0.0030408,             0.93756,             0.85472,             0.90177,             0.58741,            0.025753,           0.0058234,           0.0020976,             0.00406,             0.00406,             0.00406
                  17,            0.028862,           0.0088441,           0.0028562,               0.959,             0.85698,             0.91336,             0.62659,            0.023173,           0.0056238,           0.0019296,            0.003664,            0.003664,            0.003664
                  18,            0.026416,           0.0085901,           0.0024343,             0.95604,             0.86226,             0.91568,             0.61754,            0.023507,           0.0055131,           0.0018015,            0.003268,            0.003268,            0.003268
                  19,            0.026088,           0.0083635,            0.002581,              0.9637,             0.86252,             0.91755,             0.66264,            0.021262,           0.0053426,           0.0016847,            0.002872,            0.002872,            0.002872
                  20,            0.024617,           0.0083888,           0.0025285,             0.96476,             0.86767,             0.91878,             0.66675,             0.02092,           0.0052693,            0.001593,            0.002476,            0.002476,            0.002476
                  21,            0.024496,           0.0082964,           0.0022672,             0.95786,              0.8674,             0.92583,             0.66641,            0.019708,           0.0051416,           0.0015224,             0.00208,             0.00208,             0.00208
                  22,            0.024108,           0.0080462,           0.0022137,             0.93316,             0.87773,             0.92625,               0.677,            0.020672,           0.0051818,           0.0014366,            0.001684,            0.001684,            0.001684
                  23,            0.022861,           0.0079933,           0.0021434,             0.96022,             0.86165,             0.93074,             0.68518,            0.019541,           0.0050736,           0.0013585,            0.001288,            0.001288,            0.001288
                  24,            0.021839,           0.0081556,           0.0019543,             0.94597,             0.88546,             0.92994,             0.69485,            0.018653,            0.004976,           0.0012975,            0.000892,            0.000892,            0.000892
